Mussel,Finfish,Kelp ,Halibut ,Viewshed_max,Benthic ,Disease 
6.59E+07,2.15E+06,0,561.57,0,0.54788,0.091133
6.54E+07,1.72E+06,0,686.99,0,0.56129,0.091133
6.54E+07,1.28E+06,0,725.65,0,0.56919,0.091133
6.51E+07,1.14E+06,0,746.2,0,0.57465,0.074939
6.46E+07,1.15E+06,0,751.47,15.699,0.57604,0.074939
6.46E+07,1.21E+06,0,762.75,737.04,0.5796,0.074939
6.41E+07,1.52E+06,0,785.09,1242,0.58938,0.074939
6.42E+07,2.87E+06,0,789.63,1744.3,0.60173,0.074939
6.34E+07,3.42E+06,0,724.92,2254.2,0.62257,0.074939
6.23E+07,0,0,421.26,2475.1,0,0
6.57E+07,8.83E+06,0,557.37,0,0.60937,0.091133
6.57E+07,1.58E+06,0,685.82,0,0.55457,0.091133
6.54E+07,1.33E+06,0,726.99,0,0.56254,0.091133
6.49E+07,8.70E+06,0,754.59,0,0.61354,0.091133
6.49E+07,1.36E+06,0,772.2,177.39,0.57623,0.074939
6.44E+07,1.65E+06,0,806.53,809.84,0.58757,0.074939
6.45E+07,2.97E+06,0,822.69,1197.7,0.60062,0.074939
6.37E+07,3.30E+06,0,813.85,1557.1,0.61354,0.074939
6.26E+07,4.01E+06,0,669.9,1944.9,0.63763,0.074939
6.49E+07,1.49E+06,0,770.64,72.838,0.56454,0.091133
6.47E+07,1.81E+06,0,825.49,356.89,0.57932,0.091133
6.45E+07,2.95E+06,0,851.48,943.82,0.59375,0.091133
6.40E+07,3.39E+06,0,852.88,1203,0.60896,0.074939
6.32E+07,3.94E+06,0,822.58,1378,0.62553,0.074939
6.19E+07,0,0,614.49,1579.7,0,0
6.49E+07,1.68E+06,0,827.44,288.87,0.5659,0.091133
6.44E+07,2.17E+06,0,869.95,466.65,0.58208,0.091133
6.42E+07,3.55E+06,0,885.73,945.34,0.59985,0.091133
6.35E+07,3.84E+06,0,877.46,1197.9,0.61542,0.091133
6.22E+07,4.39E+06,0,816.01,1339.6,0.6337,0.074939
6.12E+07,0,0,601.96,1383.3,0,0
6.48E+07,2.82E+06,0,870.94,582.93,0.57411,0.091133
6.43E+07,3.44E+06,0,896.67,775.63,0.58849,0.091133
6.37E+07,4.02E+06,0,914.63,1201.2,0.60622,0.091133
