TARGET_FID,POINT_X,POINT_Y,class_new,h,m,s,u,MIN_depth,MAX_depth,RANGE_depth,MEAN_depth,STD_depth,DIST_NEW,BLOCK10_ID,OVER_LAND,dist_notes,depth_notes,MPA,PLATFORM,NAVIGATION,ANCHORAGE,MILITARY,OTHER,Status,Descriptio,trawlable,rec_fish,outfall,halibut,class_old,mussel.upfront.cost,mussel.yield ,mussel.annual.operating.costs,mussel.annual.profit,mussel.10.year.NPV ,kelp.yield,kelp.annual.operating.cost,kelp.upfront.cost ,kelp.10.year.NPV ,fish.yield,fish.annual.operating.costs,fish.price,fish.annual.revenue,halibut.10.year.NPV ,res_views_8k,res_views_3k,park_view_3k,park_views_8k,TOC.flux ,disease.risk 
2307,-117.2694668,32.47259652,undev,,,,1,-81.30000305,-61.5,19.80000305,-68.52727282,4.781558456,24927.98281,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2308,-117.2588522,32.47233588,undev,,,,1,-67.80000305,-59.70000076,8.100002289,-61.15909117,1.347666911,24513.77324,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2309,-117.2482376,32.47207424,undev,,,,1,-77.09999847,-59.59999847,17.5,-65.24958666,4.077070173,24099.56416,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2310,-117.2376231,32.47181158,undev,,,,1,-74.30000305,-56.59999847,17.70000458,-61.0469697,2.561321904,23778.55234,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2311,-117.2270087,32.47154791,undev,,,,1,-58.59999847,-51.79999924,6.799999237,-54.72892572,1.852156929,24078.85381,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2312,-117.2163943,32.47128323,undev,,,,1,-51.79999924,-46.79999924,5,-49.35606055,1.363999221,24493.0627,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2313,-117.20578,32.47101754,undev,,,,1,-47.09999847,-42.79999924,4.299999237,-44.90247925,1.233316007,24907.27227,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2314,-117.1951658,32.47075084,undev,,,,1,-42.79999924,-39.79999924,3,-41.18181807,0.631594604,25321.48555,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2315,-117.1845516,32.47048313,undev,,,,1,-40.29999924,-29.60000038,10.69999886,-35.75757564,3.27120393,25735.69932,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2316,-117.1739375,32.47021441,undev,,,,1,-30.79999924,-20.39999962,10.39999962,-24.40495863,3.307088579,26149.91426,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
